"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Smoke тест","Загрузка элемента страницы","Элемент загружается успешно","0","1","0","0","0"
"Smoke тест","JavaScriptExecutor","Убрать фокус из поля ввода с помощью JavaScriptExecutor","0","1","0","0","0"
"Smoke тест","Авторизация","Успешная авторизация с загрузкой из файла cookies","0","0","0","1","0"
