"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Smoke тест","Скриншот упавшего теста","При падении теста делается скриншот","0","0","0","1","0"
"Smoke тест","Basic Auth","Открыть страницу, пройти базовую авторизацию","0","0","1","0","0"
"Smoke тест","Авторизация","Авторизация с некорректными данными не проходит","0","0","1","0","0"
"","","","0","0","1","0","0"
"Smoke тест","Авторизация","Отправка пустой формы невозможна","0","0","1","0","0"
"Smoke тест","Авторизация","Успешная авторизация и сохранение cookies в файл","0","0","0","1","0"
