"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Smoke тест","JavaScriptExecutor","Убрать фокус из поля ввода с помощью JavaScriptExecutor","0","1","0","0","0"
"Smoke тест","Drag and Drop","Перетащить элемент в принимающий","0","1","0","0","0"
"Smoke тест","Авторизация","Авторизация с корректными данными проходит успешно","0","1","0","0","0"
"Smoke тест","Авторизация","Авторизация с некорректными данными не проходит","0","1","0","0","0"
"Smoke тест","Авторизация","Страница загружается успешно, основные элементы отображаются корректно","0","1","0","0","0"
