"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Smoke тест","Авторизация","Авторизация с некорректными данными с проверкой ошибок","0","0","1","0","0"
"Smoke тест","Переход на страницу по ссылке","Переход по ссылке проходит успешно, основные элементы новой страницы отображаются корректно","0","0","1","0","0"
"Smoke тест","Авторизация","Авторизация с корректными данными и успешное разлогирование","0","0","1","0","0"
"Smoke тест","Авторизация","Авторизация с корректными данными проходит успешно","0","0","1","0","0"
"Smoke тест","Drag and Drop","Перетащить элемент в принимающий","0","0","1","0","0"
