"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Smoke тест","Переход на страницу по ссылке","Переход по ссылке проходит успешно, основные элементы новой страницы отображаются корректно","0","1","0","0","0"
"Smoke тест","Авторизация","Авторизация с некорректными данными с проверкой ошибок","0","1","0","0","0"
"Smoke тест","Скриншот упавшего теста","При падении теста делается скриншот","0","0","0","1","0"
"Smoke тест","Загрузка страницы","Пункты меню отображаются и кликабельны при скроллинге","0","1","0","0","0"
